location,address,city,zip_code,lat,lon,category,state,info
Golden House (Moore-Golden),1701 E Eighth St,Charlotte,,35.2166593,-80.8206937,historic,NC,Bungalow
Mayer House,311 East Blvd,Charlotte,,35.2107515,-80.8558333,historic,NC,Victorian
Grier-Rea House,6701 Providence Rd,Charlotte,,35.1169523,-80.7784843,historic,NC,Federal
First National Bank Building,112 S Tryon St,Charlotte,,35.227144,-80.8439222,historic,NC,Bank Commercial
Park Avenue Mill Village,408 Park Ave,Pineville,,35.0817936,-80.8931832,historic,NC,Mill Village
Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,historic,NC,Park
Park Avenue Mill Village,427 Park Ave,Pineville,,35.0824157,-80.8952145,historic,NC,Mill Village
Grinnell/General Fire Extinguisher Company,1435 W Morehead St,Charlotte,,35.2281115,-80.8644538,historic,NC,Commercial/Industrial
Goff House,1116 Queens Rd,Charlotte,,35.199733,-80.8312696,historic,NC,Colonial Revival
Big Rock Rock Shelter,6500 Elmstone Dr,Charlotte,,35.061696,-80.826982,historic,NC,Exposed Boulders
Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,historic,NC,Park
Thies House,600 Ardsley Rd,Charlotte,,35.2019647,-80.825625,historic,NC,Colonial Revival
Nebel Knitting Mill,101 W Worthington Ave,Charlotte,,35.2114756,-80.860049,historic,NC,Cotton Mill
Villalonga-Alexander House,301 E Park Ave,Charlotte,,35.2128046,-80.8539956,historic,NC,Colonial Revival
Henderson-King House,4723 Stafford Cir,Charlotte,,35.1767986,-80.790126,historic,NC,Queen Anne
Park Avenue Mill Village,426 Park Ave,Pineville,,35.0827291,-80.8949876,historic,NC,Mill Village
Grier-Furr House,500 W John St,Matthews,,35.1194136,-80.7271803,historic,NC,Vernacular
Park Avenue Mill Village,414 Park Ave,Pineville,,35.0821409,-80.8938315,historic,NC,Mill Village
Park Avenue Mill Village,416 Park Ave,Pineville,,35.0822425,-80.8940476,historic,NC,Mill Village
Erwin-Oehler House,14401 Huntersville-Concord Rd,Huntersville,,35.4168189,-80.804446,historic,NC,Federal
Lambeth-Gosset House,923 Granville Rd,Charlotte,,35.1987557,-80.8270957,historic,NC,Bungalow
St. Peter's Hospital,229 N Poplar St,Charlotte,,35.2307,-80.8432929,historic,NC,Classical Revival
Cohen-Fumaro House,1154 Cedarwood Ln,Charlotte,,35.1948253,-80.7547197,historic,NC,Modern
Pineville Commercial Block (including interior),316 Main St,Pineville,,35.0859046,-80.89059,historic,NC,Commercial
Agricultural Building (Huntersville),200 Gilead Rd,Huntersville,,35.410907,-80.846714,historic,NC,Eclectic
Caldwell Station School,17616 Caldwell Station School Rd,Huntersville,,35.4514375,-80.8421365,historic,NC,Schoolhouse Vernacular
North Carolina Medical College Building,229 N Church St,Charlotte,,35.2297569,-80.8423631,historic,NC,Classical Revival
Mabonsie,312 S Thompson St,Davidson,,35.4934335,-80.8432497,historic,NC,Rustic Log Cabin
Electric Supply & Equipment Company Building,501 Penman St,Charlotte,,35.2219849,-80.8584039,historic,NC,Mill Style
Flow-Lee House,4122 Hoodridge Ln,Charlotte,,35.1649225,-80.6644456,historic,NC,Vernacular
Pineville Commercial Block,324 Main St,Pineville,,35.085957,-80.8908601,historic,NC,Commercial
Osborne House,12445 Ramah Church Rd,Huntersville,,35.4244685,-80.8274417,historic,NC,Vernacular
Huntersville Town Jail,301 Huntersville-Concord Rd,Huntersville,,35.4112515,-80.8403954,historic,NC,Municipal Building
Park Avenue Mill Village,410 Park Ave,Pineville,,35.0818951,-80.8933993,historic,NC,Mill Village
McElroy House,10915 Beatties Ford Rd,Huntersville,,35.369784,-80.902322,historic,NC,Victorian
Mayfair Manor (Dunhill Hotel),237 N Tryon St,Charlotte,,35.228915,-80.84119,historic,NC,Skyscraper
Parks-Cramer Company Complex,2000 South Blvd,Charlotte,,35.20955,-80.8604813,historic,NC,Textile Industrial
Woodlawn Avenue Duplex,210 S Irwin Ave,Charlotte,,35.23351,-80.854333,historic,NC,Vernacular Mission
Parks Hutchinson School,1400 N Graham St,Charlotte,,35.2416574,-80.8337566,historic,NC,Neoclassical
Hermitage Court Gateways,400 Hermitage Ct,Charlotte,,35.2051703,-80.8244646,historic,NC,Bungalow
Grinnell/General Fire Extinguisher Company,1431 W Morehead St,Charlotte,,35.2287588,-80.8653627,historic,NC,Commercial/Industrial
Liddel-McNinch House,511 N Church St,Charlotte,,35.2316495,-80.8396303,historic,NC,Queen Anne
Elm & Oak Row (Davidson College Campus),405 N Main St,Davidson,,35.502236,-80.847517,historic,NC,Federal
Helms-Bell House,2021 Euclid Ave,Charlotte,,35.207276,-80.857905,historic,NC,Queen Anne
Johnston Building,212 S Tryon St,Charlotte,,35.2263394,-80.8450011,historic,NC,Skyscraper
Pineville Commercial Block,328 Main St,Pineville,,35.0858927,-80.8909634,historic,NC,Commercial
Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,historic,NC,Park
Stratton House,911 W Fourth St Ext,Charlotte,,35.2326927,-80.8538442,historic,NC,Tudor Revival
Hopewell Presbyterian Church,10500 Beatties Ford Rd,Charlotte,,35.3662879,-80.8978887,historic,NC,Federal
Hoyle House,11511 Smith Rd,Cornelius,,35.4766624,-80.8506228,historic,NC,Foursquare
Providence Women's Club Community House (land),9735 Community House Rd,Charlotte,,35.036843,-80.8278094,historic,NC,Land
Stone Entry Gates (JCSU Campus),100 Beatties Ford Rd,Charlotte,,35.243588,-80.8569359,historic,NC,Bungalow
Potts Place,11901 Smith Rd,Cornelius,,35.4774546,-80.8443092,historic,NC,Log (altered)
