location,address,city,zip_code,lat,lon,category,state,info
Thompson Orphanage Chapel,1129 E Third St,Charlotte,,35.216187,-80.833153,historic,NC,Gothic Revival
Hovis Funeral Home,516 N Tryon St,Charlotte,,35.2304898,-80.8379632,historic,NC,Neoclassical
Cashion & Moore Family Cemetery,McAuley Rd @ Davidson-Concord Rd,Davidson,,35.4452738,-80.781185,historic,NC,Cemetery
Park Avenue Mill Village,423 Park Ave,Pineville,,35.0822159,-80.8948255,historic,NC,Mill Village
Stratton House,911 W Fourth St Ext,Charlotte,,35.2326927,-80.8538442,historic,NC,Land
Dinkins House & Lodge,2400 Summerlake Rd,Charlotte,,35.127448,-80.796785,historic,NC,Federal
Dilworth Airplane Bungalow,2144 Park Rd,Charlotte,,35.2007068,-80.8525038,historic,NC,Airplane Bungalow
Philanthropic Hall (Davidson College Campus),216 N Main St,Davidson,,35.500364,-80.8469609,historic,NC,Greek Revival
Mt. Carmel Baptist Church,412 Campus St,Charlotte,,35.2462266,-80.8580601,historic,NC,Gothic Revival
Cooper Log House,5621 Mt Olive Church Rd,Charlotte,,35.204005,-80.973831,historic,NC,Log
Little Rock A.M.E. Zion Church,401 N Myers St,Charlotte,,35.2237953,-80.8328051,historic,NC,Neoclassical
Shotgun House B,715 E Seventh St,Charlotte,,35.2243129,-80.833624,historic,NC,Shotgun
Biddleville Cemetery,Cemetery St & French St,Charlotte,,35.248364,-80.859752,historic,NC,Graveyard/Cemetery
Park Avenue Mill Village,420 Park Ave,Pineville,,35.0824277,-80.8943825,historic,NC,Mill Village
McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,historic,NC,Commercial
Ranson House,412 S Old Statesville Rd,Huntersville,,35.4051924,-80.8419739,historic,NC,Colonial Revival
Highland Park Mill No. 3,2901 N Davidson St,Charlotte,,35.2461366,-80.809316,historic,NC,Vernacular
Sherrill-Robbins House,19726 Zion Ave,Cornelius,,35.4785748,-80.8554009,historic,NC,Queen Anne
Bryant Park,1701 W Morehead St,Charlotte,,35.227481,-80.87057,historic,NC,Rustic Revival
Reynolds-Gourmajenko House,715 Providence Rd,Charlotte,,35.2002745,-80.8246734,historic,NC,Tuscan Revival
Beaver Dam House,19600 Davidson-Concord Rd,Davidson,,35.475572,-80.817654,historic,NC,Log (altered)
Providence Women's Club Community House (land),9735 Community House Rd,Charlotte,,35.036843,-80.8278094,historic,NC,Land
Atherton Cotton Mills,2108 South Blvd,Charlotte,,35.2076899,-80.8617784,historic,NC,Cotton Mill
Phillips House and Morris Barn,131 W Charles St,Matthews,,35.1175369,-80.7227194,historic,NC,Craftsman Style Bungalow
Roseland Cemetery,10252 Monroe Rd,Matthews,,35.1327939,-80.73721,historic,NC,Cemetery
Pineville Commercial Block,314 Main St,Pineville,,35.085808,-80.8906073,historic,NC,Commercial
Seaboard Air Line Railroad Station,945 N College St,Charlotte,,35.2340722,-80.8327835,historic,NC,Classical Revival
Bethesda Schoolhouse,10520 Arthur Davis Rd,Huntersville,,35.3647178,-80.8193799,historic,NC,Vernacular
Charlotte's Woman's Club,1001 E Morehead St,Charlotte,,35.2130419,-80.8433794,historic,NC,Regency Revival
