id,location,address,city,zip_code,lat,lon,category,state,info
274,Young-Morrison House,224 W Tenth St,Charlotte,,35.2336269,-80.838102,Historic,NC,Vernacular
275,Charlotte Fire Station # 5,224 Wesley Heights Way,Charlotte,,35.2371433,-80.8613408,Historic,NC,Spanish Eclectic
276,Pineville Commercial Block,322 Main St,Pineville,,35.085945,-80.890772,Historic,NC,Commercial
277,Poplar Apartments,301 W Tenth St,Charlotte,,35.2334882,-80.839098,Historic,NC,Jacobethan Revival
278,Rowland-Clay House,606 E Charles St,Matthews,,35.1125845,-80.7148365,Historic,NC,Craftsman
279,Alpha Cotton Mill,220 Alpha Mill Ln,Charlotte,,35.2314364,-80.8313432,Historic,NC,Cotton Mill
280,R.F. Outen Pottery,430 Jefferson St,Matthews,,35.1151023,-80.7290208,Historic,NC,Workshop/Pottery
281,Sandifer House,12601 Moore's Chapel Rd,Charlotte,,35.255603,-80.999925,Historic,NC,Vernacular
282,Gluyas House,7314 Mt Holly-Huntersville Rd,Huntersville,,35.4036369,-80.8446044,Historic,NC,Vernacular
283,First Associate Reformed Presbyterian Church,721 N Tryon St,Charlotte,,35.2327343,-80.8361786,Historic,NC,Gothic Revival
284,Pineville Commercial Block (including interior),330 Main St,Pineville,,35.0859853,-80.8910422,Historic,NC,Commercial
285,Eumenean Hall (Davidson College Campus),405 N Main St,Davidson,,35.502236,-80.847517,Historic,NC,Greek Revival
286,Charlotte Water Works/Vest Station,820 Beatties Ford Rd,Charlotte,,35.2498786,-80.8564326,Historic,NC,Art Deco
287,Elmwood/Pinewood Cemetery,700 W Sixth St,Charlotte,,35.234098,-80.847333,Historic,NC,Cemetery
288,McEwen-Moore Farmhouse,2035 Moore Rd,Matthews,,35.116343,-80.693063,Historic,NC,19th Century Vernacular
289,Edgewood Farmhouse,11124 Eastfield Rd,Huntersville,,35.369376,-80.810606,Historic,NC,Federal
290,McAuley Road Farmland,16040 McAuley Rd,Huntersville,,35.434133,-80.778691,Historic,NC,Farmland
291,Dr. Elmer H. Garinger High School,1100 Eastway Dr,Charlotte,,35.2409597,-80.7819839,Historic,NC,Modernist School
292,Defiance Sock Mills,520 Elliot St,Charlotte,,35.2306548,-80.8578432,Historic,NC,Mill
293,Park Avenue Mill Village,422 Park Ave,Pineville,,35.0825063,-80.894577,Historic,NC,Mill Village
294,Armour-Adams House,626 N Main St,Davidson,,35.5059468,-80.8443253,Historic,NC,Folk Victorian
295,Oak Lawn,12510 Oak Park Dr,Huntersville,,35.3959468,-80.8756992,Historic,NC,Federal
296,White Oak,7729 Hood Rd,Charlotte,,35.248561,-80.6909639,Historic,NC,Federal
297,Dr. Whitley Building,4311 Hillside Dr,Charlotte,,35.1790088,-80.8464208,Historic,NC,Vernacular
298,Settler's Cemetery,200 W Fifth St,Charlotte,,35.229648,-80.843079,Historic,NC,Cemetery
299,East Ave Tabernacle A.R.P. Church (former),926 Elizabeth Ave,Charlotte,,35.2193755,-80.8340161,Historic,NC,Neoclassical
300,Huntersville,Huntersville North Carolina,,28078,35.44353,-80.89683,Red,,
301,Sam Furr,"Sam Furr Rd, Huntersville, NC",,28078,35.45088,-80.81907,Red,,
302,Cornelius,"Cornelius, NC",,28031,35.48491,-80.85885,Red,,
303,Davidson,"Davidson, NC",,28035,35.499249,-80.848488,Red,,
304,Hambright,"Hambright Rd, Huntersville NC",,28078,35.37755,-80.83361,Red,,
305,Derita,"Derita Rd, Charlotte NC",,28269,35.3011,-80.80568,Red,,
306,Harris,"W.T Harris Blvd, Charlotte NC",,28269,35.16676,-80.74255,Red,,
307,Eastfield,"Arthur Davis Rd, Charlotte NC",,28269,35.36379,-80.81981,Red,,
308,Mount Mourne,"Mecklenburg, Hwy, Davidson NC",,28117,35.54801,-80.84613,Red,,
309,Charlotte Gateway Station,"West Trade Street Charlotte, North Carolina",,28202,35.23131,-80.84773,Red,,
310,Third Ward / McNinch St,,,,35.22903501,-80.85607994,Silver,,
311,Ashley Rd,,,,35.2242649,-80.89012956,Silver,,
312,Airport,,,,35.23548999,-80.94358811,Silver,,
313,West Morehead St / Suttle Ave,,,,35.22325991,-80.87230828,Silver,,
314,Belmont,,,,35.25133432,-81.02651348,Silver,,
315,Matthews Sportsplex,,,,35.1120937,-80.70513449,Silver,,
316,Sam Wilson,,,,35.24167941,-80.98263006,Silver,,
317,Coliseum / Ovens,,,,35.20371608,-80.79608098,Silver,,
318,Fourth Ward / Graham St,,,,35.23532754,-80.84189885,Silver,,
319,Matthews Township Parkway,,,,35.12634967,-80.72825131,Silver,,
320,Charlotte Gateway Station,,,,35.23098566,-80.84843092,Silver,,
321,Village Lake Dr,,,,35.15804741,-80.74870265,Silver,,
322,Stafford Dr,,,,35.23366993,-80.9319175,Silver,,
323,Pecan Ave,,,,35.21807332,-80.81479933,Silver,,
324,Central Ave,,,,35.22087677,-80.82631392,Silver,,
325,Conference Dr,,,,35.18179773,-80.75569473,Silver,,
326,CPCC Levine,,,,35.10332384,-80.69742148,Silver,,
327,Morningside Dr,,,,35.21328262,-80.80343634,Silver,,
328,Sardis Rd / Galleria,,,,35.13641361,-80.73775368,Silver,,
329,Matthews Downtown / Hospital,,,,35.11950578,-80.71641363,Silver,,
330,Remont Rd,,,,35.22401776,-80.88321106,Silver,,
331,Wesley Heights / Summit Ave,,,,35.22693341,-80.86484601,Silver,,
332,Morris Field Dr,,,,35.22682311,-80.91124593,Silver,,
333,Sharon Amity Rd,,,,35.19365496,-80.76628392,Silver,,
334,Amity Gardens,,,,35.20097447,-80.77928479,Silver,,
335,I-485,,,,35.2390923,-80.96564316,Silver,,
336,First Ward / Blue Line,,,,35.23080459,-80.83347308,Silver,,
337,LaSalle Street,,,,35.26298,-80.8547,Gold,,
338,Russell Av,,,,35.25703,-80.85558,Gold,,
339,Booker Avenue/Oaklawn,,,,35.2538,-80.85597,Gold,,
340,French Street,,,,35.24685,-80.85679,Gold,,
341,Johnson C. Smith University,,,,35.24173,-80.85869,Gold,,
342,Bruns Avenue,,,,35.24026,-80.85843,Gold,,
343,Wesley Heights Way,,,,35.2371,-80.85866,Gold,,
344,Johnson & Wales,,,,35.2338,-80.85113,Gold,,
345,Charlotte Gateway Station,,,,35.23131,-80.84773,Gold,,
346,Mint Street,,,,35.22942,-80.84566,Gold,,
347,Tryon Street,,,,35.2272,-80.84307,Gold,,
348,Hawthorne and 5th,,,,35.23285,-80.81108,Gold,,
349,Veterans Park,,,,35.21974,-80.80409,Gold,,
350,Morningside Drive,,,,35.2193,-80.79923,Gold,,
351,Arnold Drive,,,,35.21796,-80.7944,Gold,,
352,Briar Creek Road,,,,35.21695,-80.79093,Gold,,
353,Eastway Drive,,,,35.21553,-80.78065,Gold,,
354,Sheridan Drive,,,,35.21448,-80.77286,Gold,,
355,Derby Acres,,,,35.21374,-80.77026,Gold,,
356,Landsdale Dr/Rosehaven Dr,,,,35.21247,-80.76433,Gold,,
357,Winterfield Place,,,,35.21082,-80.75911,Gold,,
358,Eastland Mall,,,,35.19299,-80.76105,Gold,,
359,Elizabeth and Hawthorne,,,,35.2129,-80.82559,Gold,,
360,Eastway Crossing,,,,35.21591,-80.78447,Gold,,
361,Barnhardt,,,,35.22132,-80.81854,Gold,,
362,Rosa Parks Place,,,,35.2732,-80.85441,Gold,,
363,Montana Dr,,,,35.26828,-80.854,Gold,,
364,CTC/Arena,,,,35.22545,-80.84074,Gold,,
365,Davidson St,,,,35.2229,-80.83801,Gold,,
366,Central Piedmont Community College,,,,35.20272,-80.82971,Gold,,
367,McDowell Street,,,,35.22122,-80.83608,Gold,,
368,Hawthorne and 8th,,,,35.23285,-80.81108,Gold,,
369,The Plaza,,,,35.22026,-80.8108,Gold,,
370,Sunnyside,,,,35.21981,-80.81881,Gold,,
371,Irwin Avenue,,,,35.23477,-80.85246,Gold,,
372,Carson,218 E. Carson Bv,,28203,35.2189047,-80.8518354,Blue,,
373,Charlotte Transportation Center/Arena,303 E. Trade St,,28202,35.22551,-80.8408697,Blue,,
374,I-485/South Blvd,9508 South Bv,,28273,35.1068785,-80.8822372,Blue,,
375,Sharon Road West,8815 Crump Rd,,28134,35.119992,-80.882237,Blue,,
376,Arrowood,7717 England St,,28273,35.134202,-80.876641,Blue,,
377,Archdale,6230 South Bv,,28217,35.15068,-80.876791,Blue,,
378,Tyvola,5703 Old Pineville Rd,,28217,35.1621374,-80.8778377,Blue,,
379,Woodlawn,4756 Old Pineville Rd,,28217,35.1762003,-80.8792882,Blue,,
380,Scaleybark,3750 South Bv,,28209,35.192032,-80.875522,Blue,,
381,New Bern,129 New Bern St,,28203,35.199771,-80.868959,Blue,,
382,East/West,1821 Camden St,,28203,35.2124302,-80.8588616,Blue,,
383,Bland St,1511 Camden Rd,,28203,35.2156759,-80.8553325,Blue,,
384,3rd St/Convention Center,305 E. 3rd St,,28202,35.222255,-80.8454297,Blue,,
385,7th St,260 E. 7th St,,28202,35.227316,-80.838126,Blue,,
386,Stonewall,260 E. Stonewall St,,28202,35.2212868,-80.8469943,Blue,,
387,9th Street,239 E 9th St,,28202,35.229536,-80.835229,Blue,,
388,Parkwood,401 Parkwood Ave,,28206,35.236962,-80.823927,Blue,,
389,25th Street,2215 N Brevard St,,28206,35.2412926,-80.8173566,Blue,,
390,36th Street,400 E 36th St,,28206,35.2493225,-80.806048,Blue,,
391,Tom Hunter,6501 N Tryon St,,28213,35.2777079,-80.766727,Blue,,
392,JW Clay Blvd,9101 N Tryon St,,28262,35.309976,-80.7462621,Blue,,
393,Old Concord Rd,5600 Old Concord Rd,,28213,35.2620859,-80.772476,Blue,,
394,Sugar Creek,700 E Sugar Creek Rd,,28205,35.2516738,-80.7912187,Blue,,
395,UNC Charlotte,9025 Cameron Blvd,,28262,35.3117307,-80.7337632,Blue,,
396,University City Blvd,7201 N Tryon St,,28262,35.2867468,-80.7611487,Blue,,
397,McCullough,8315 N Tryon St,,28262,35.3007092,-80.7534531,Blue,,
