id,location,address,city,zip_code,lat,lon,category,state,info
96,Park Avenue Mill Village,421 Park Ave,Pineville,,35.0820716,-80.8946094,Historic,NC,Mill Village
97,Davidson School,251 South St,Davidson,,35.4961266,-80.8488066,Historic,NC,Modern
98,Pineville Commercial Block,312 Main St,Pineville,,35.085849,-80.8904171,Historic,NC,Commercial
99,Carnegie Library Building (old) (JCSU Campus),160 Beatties Ford Rd,Charlotte,,35.243604,-80.856864,Historic,NC,Neoclassical
100,Addison Apartment Building,831 E Morehead St,Charlotte,,35.2143225,-80.844547,Historic,NC,Neoclassical 
101,Trolley Walk,2100 E Seventh St,Charlotte,,35.2112057,-80.8169951,Historic,NC,Walk
102,Scott-Hoke House,1717 Cleveland Ave,Charlotte,,35.2112231,-80.8558765,Historic,NC,Queen Anne
103,Charlotte Coliseum,2700 E Independence Blvd,Charlotte,,35.205058,-80.7951951,Historic,NC,Modern
104,Carolina Cadillac Company,1310 S Tryon St,Charlotte,,35.2183846,-80.8546009,Historic,NC,Classical Revival
105,Grand Theater,333 Beatties Ford Rd,Charlotte,,35.2455718,-80.8572818,Historic,NC,20th Century Commercial
106,Latta Arcade,316 S Tryon St,Charlotte,,35.2253511,-80.8461491,Historic,NC,Beaux Arts
107,Bradford Store,15908 Davidson-Concord Rd,Huntersville,,35.4425178,-80.7737017,Historic,NC,Rural Vernacular
108,Hayes-Byrum Store & House,8510 Steele Creek Rd,Charlotte,,35.1707888,-80.9597429,Historic,NC,Vernacular
109,Thies Building,500 N Tryon St,Charlotte,,35.2300897,-80.8383411,Historic,NC,Commercial
110,First United Presbyterian Church,201 E Seventh St,Charlotte,,35.2285772,-80.8383195,Historic,NC,Gothic Revival
111,Steele Creek Presbyterian Church,7407 Steele Creek Rd,Charlotte,,35.1831633,-80.955094,Historic,NC,Gothic Revival
112,Carter Hall (JCSU Campus),160 Beatties Ford Rd,Charlotte,,35.243604,-80.856864,Historic,NC,Gothic Revival
113,Harrill-Porter House,329 E Kingston Ave,Charlotte,,35.2112295,-80.8542766,Historic,NC,Vernacular
114,Matthews School,100 E McDowell St,Matthews,,35.1131116,-80.7224351,Historic,NC,Colonial Revival
115,McQuay House,3200 Tuckaseegee Rd,Charlotte,,35.2437491,-80.8806919,Historic,NC,Vernacular Colonial Revival
116,Mecklenburg County Courthouse,700 E Trade St,Charlotte,,35.2213738,-80.8373464,Historic,NC,Neoclassical
117,Providence Women's Club Community House (land),9735 Community House Rd,Charlotte,,35.036843,-80.8278094,Historic,NC,Land
118,Park Avenue Mill Village,415 Park Ave,Pineville,,35.0817735,-80.8940476,Historic,NC,Mill Village
119,Charlotte Fire Station # 7,3210 N Davidson St,Charlotte,,35.2470734,-80.8051409,Historic,NC,Storefront Style
120,Atherton Mill House,2005 Cleveland Ave,Charlotte,,35.2086296,-80.8587302,Historic,NC,Mill House
121,McCausland Building-Thacker's Restaurant,221 S Tryon St,Charlotte,,35.2259534,-80.8446717,Historic,NC,Commercial
122,Builders Building,312 W Trade St,Charlotte,,35.2295153,-80.8453471,Historic,NC,Commercial
123,McAuley Road Farmland,16101 McAuley Rd,Huntersville,,35.430402,-80.782185,Historic,NC,Farmland
124,Crowell-Berryhill Store,401 W Ninth St,Charlotte,,35.2336176,-80.8407881,Historic,NC,Commercial
125,Carolina Transfer & Storage Company Building,1230 W Morehead St,Charlotte,,35.2292824,-80.8619802,Historic,NC,Industrial
126,Golden House (Moore-Golden),1701 E Eighth St,Charlotte,,35.2166593,-80.8206937,Historic,NC,Bungalow
127,Mayer House,311 East Blvd,Charlotte,,35.2107515,-80.8558333,Historic,NC,Victorian
128,Grier-Rea House,6701 Providence Rd,Charlotte,,35.1169523,-80.7784843,Historic,NC,Federal
129,First National Bank Building,112 S Tryon St,Charlotte,,35.227144,-80.8439222,Historic,NC,Bank Commercial
130,Park Avenue Mill Village,408 Park Ave,Pineville,,35.0817936,-80.8931832,Historic,NC,Mill Village
131,Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,Historic,NC,Park
132,Park Avenue Mill Village,427 Park Ave,Pineville,,35.0824157,-80.8952145,Historic,NC,Mill Village
133,Grinnell/General Fire Extinguisher Company,1435 W Morehead St,Charlotte,,35.2281115,-80.8644538,Historic,NC,Commercial/Industrial
134,Goff House,1116 Queens Rd,Charlotte,,35.199733,-80.8312696,Historic,NC,Colonial Revival
135,Big Rock Rock Shelter,6500 Elmstone Dr,Charlotte,,35.061696,-80.826982,Historic,NC,Exposed Boulders
136,Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,Historic,NC,Park
137,Thies House,600 Ardsley Rd,Charlotte,,35.2019647,-80.825625,Historic,NC,Colonial Revival
138,Nebel Knitting Mill,101 W Worthington Ave,Charlotte,,35.2114756,-80.860049,Historic,NC,Cotton Mill
139,Villalonga-Alexander House,301 E Park Ave,Charlotte,,35.2128046,-80.8539956,Historic,NC,Colonial Revival
140,Henderson-King House,4723 Stafford Cir,Charlotte,,35.1767986,-80.790126,Historic,NC,Queen Anne
141,Park Avenue Mill Village,426 Park Ave,Pineville,,35.0827291,-80.8949876,Historic,NC,Mill Village
142,Grier-Furr House,500 W John St,Matthews,,35.1194136,-80.7271803,Historic,NC,Vernacular
143,Park Avenue Mill Village,414 Park Ave,Pineville,,35.0821409,-80.8938315,Historic,NC,Mill Village
144,Park Avenue Mill Village,416 Park Ave,Pineville,,35.0822425,-80.8940476,Historic,NC,Mill Village
145,Erwin-Oehler House,14401 Huntersville-Concord Rd,Huntersville,,35.4168189,-80.804446,Historic,NC,Federal
146,Lambeth-Gosset House,923 Granville Rd,Charlotte,,35.1987557,-80.8270957,Historic,NC,Bungalow
147,St. Peter's Hospital,229 N Poplar St,Charlotte,,35.2307,-80.8432929,Historic,NC,Classical Revival
148,Cohen-Fumaro House,1154 Cedarwood Ln,Charlotte,,35.1948253,-80.7547197,Historic,NC,Modern
149,Pineville Commercial Block (including interior),316 Main St,Pineville,,35.0859046,-80.89059,Historic,NC,Commercial
150,Agricultural Building (Huntersville),200 Gilead Rd,Huntersville,,35.410907,-80.846714,Historic,NC,Eclectic
151,Caldwell Station School,17616 Caldwell Station School Rd,Huntersville,,35.4514375,-80.8421365,Historic,NC,Schoolhouse Vernacular
152,North Carolina Medical College Building,229 N Church St,Charlotte,,35.2297569,-80.8423631,Historic,NC,Classical Revival
153,Mabonsie,312 S Thompson St,Davidson,,35.4934335,-80.8432497,Historic,NC,Rustic Log Cabin
154,Electric Supply & Equipment Company Building,501 Penman St,Charlotte,,35.2219849,-80.8584039,Historic,NC,Mill Style
155,Flow-Lee House,4122 Hoodridge Ln,Charlotte,,35.1649225,-80.6644456,Historic,NC,Vernacular
156,Pineville Commercial Block,324 Main St,Pineville,,35.085957,-80.8908601,Historic,NC,Commercial
157,Osborne House,12445 Ramah Church Rd,Huntersville,,35.4244685,-80.8274417,Historic,NC,Vernacular
158,Huntersville Town Jail,301 Huntersville-Concord Rd,Huntersville,,35.4112515,-80.8403954,Historic,NC,Municipal Building
159,Park Avenue Mill Village,410 Park Ave,Pineville,,35.0818951,-80.8933993,Historic,NC,Mill Village
160,McElroy House,10915 Beatties Ford Rd,Huntersville,,35.369784,-80.902322,Historic,NC,Victorian
161,Mayfair Manor (Dunhill Hotel),237 N Tryon St,Charlotte,,35.228915,-80.84119,Historic,NC,Skyscraper
162,Parks-Cramer Company Complex,2000 South Blvd,Charlotte,,35.20955,-80.8604813,Historic,NC,Textile Industrial
163,Woodlawn Avenue Duplex,210 S Irwin Ave,Charlotte,,35.23351,-80.854333,Historic,NC,Vernacular Mission
164,Parks Hutchinson School,1400 N Graham St,Charlotte,,35.2416574,-80.8337566,Historic,NC,Neoclassical
165,Hermitage Court Gateways,400 Hermitage Ct,Charlotte,,35.2051703,-80.8244646,Historic,NC,Bungalow
166,Grinnell/General Fire Extinguisher Company,1431 W Morehead St,Charlotte,,35.2287588,-80.8653627,Historic,NC,Commercial/Industrial
167,Liddel-McNinch House,511 N Church St,Charlotte,,35.2316495,-80.8396303,Historic,NC,Queen Anne
168,Elm & Oak Row (Davidson College Campus),405 N Main St,Davidson,,35.502236,-80.847517,Historic,NC,Federal
169,Helms-Bell House,2021 Euclid Ave,Charlotte,,35.207276,-80.857905,Historic,NC,Queen Anne
170,Johnston Building,212 S Tryon St,Charlotte,,35.2263394,-80.8450011,Historic,NC,Skyscraper
171,Pineville Commercial Block,328 Main St,Pineville,,35.0858927,-80.8909634,Historic,NC,Commercial
172,Independence Park,300 Hawthorne Ln,Charlotte,,35.214054,-80.8233757,Historic,NC,Park
173,Stratton House,911 W Fourth St Ext,Charlotte,,35.2326927,-80.8538442,Historic,NC,Tudor Revival
174,Hopewell Presbyterian Church,10500 Beatties Ford Rd,Charlotte,,35.3662879,-80.8978887,Historic,NC,Federal
175,Hoyle House,11511 Smith Rd,Cornelius,,35.4766624,-80.8506228,Historic,NC,Foursquare
176,Providence Women's Club Community House (land),9735 Community House Rd,Charlotte,,35.036843,-80.8278094,Historic,NC,Land
177,Stone Entry Gates (JCSU Campus),100 Beatties Ford Rd,Charlotte,,35.243588,-80.8569359,Historic,NC,Bungalow
178,Potts Place,11901 Smith Rd,Cornelius,,35.4774546,-80.8443092,Historic,NC,Log (altered)
179,Wing Haven ,248 Ridgewood Ave,Charlotte,,35.1790014,-80.8408711,Historic,NC,Colonial Revival
180,Charlotte Fire Station # 2,1212 South Blvd,Charlotte,,35.2169631,-80.8518552,Historic,NC,Classical Revival
181,Long Creek Mill Ruin,8508 Beatties Ford Rd,Charlotte,,35.345707,-80.880215,Historic,NC,Mill Ruin
182,Gautier-Gilchrist House,320 E Park Ave,Charlotte,,35.2120547,-80.8539307,Historic,NC,Colonial Revival
183,Funderburk Brothers Building,157 N Trade St,Matthews,,35.1165629,-80.722243,Historic,NC,Commercial
184,Davidson Cotton Mill,209 Delburg St,Davidson,,35.5038998,-80.8489363,Historic,NC,Cotton Mill
